time;NETWORK__BUS____1_TN_Urms;NETWORK__BUS____4_TN_Urms;NETWORK__BUS____9_TN_Urms;NETWORK__BUS___14_TN_Urms;GEN____1_SM_machine_omegaPu;GEN____1_SM_machine_PGenPu;GEN____2_SM_machine_omegaPu;GEN____8_SM_machine_omegaPu;
0.002300;1.114501;1.124944;1.567563;1.465822;1.000008;0.149475;1.000003;0.999929;
0.002310;1.090801;1.117394;1.562417;1.464392;1.000008;0.145860;1.000003;0.999929;
0.002320;1.066549;1.110158;1.557072;1.463044;1.000008;0.142839;1.000004;0.999928;
0.002330;1.042325;1.103262;1.551546;1.461770;1.000008;0.140472;1.000004;0.999928;
0.002340;1.018739;1.096729;1.545857;1.460563;1.000008;0.138802;1.000004;0.999928;
0.002350;0.996407;1.090577;1.540021;1.459415;1.000008;0.137851;1.000004;0.999928;
0.002360;0.975939;1.084821;1.534055;1.458318;1.000009;0.137629;1.000004;0.999927;
0.002370;0.957911;1.079471;1.527978;1.457261;1.000009;0.138127;1.000004;0.999927;
0.002380;0.942837;1.074532;1.521805;1.456235;1.000009;0.139323;1.000004;0.999927;
0.002390;0.931148;1.070005;1.515555;1.455230;1.000009;0.141180;1.000004;0.999927;
0.002400;0.923163;1.065888;1.509242;1.454234;1.000009;0.143650;1.000004;0.999926;
0.002410;0.919071;1.062174;1.502883;1.453238;1.000009;0.146673;1.000004;0.999926;
0.002420;0.918925;1.058853;1.496494;1.452229;1.000009;0.150182;1.000004;0.999926;
0.002430;0.922635;1.055910;1.490088;1.451197;1.000009;0.154098;1.000004;0.999926;
0.002440;0.929984;1.053329;1.483679;1.450132;1.000009;0.158338;1.000004;0.999925;
0.002450;0.940642;1.051092;1.477281;1.449021;1.000009;0.162813;1.000004;0.999925;
0.002460;0.954196;1.049178;1.470905;1.447856;1.000009;0.167431;1.000004;0.999925;
0.002470;0.970170;1.047563;1.464561;1.446625;1.000009;0.172094;1.000004;0.999924;
0.002480;0.988055;1.046225;1.458261;1.445319;1.000009;0.176706;1.000004;0.999924;
0.002490;1.007330;1.045140;1.452012;1.443928;1.000009;0.181170;1.000004;0.999924;
0.002500;1.027477;1.044284;1.445823;1.442443;1.000009;0.185392;1.000004;0.999924;
0.002510;1.047997;1.043633;1.439701;1.440857;1.000009;0.189282;1.000004;0.999923;
0.002520;1.068419;1.043164;1.433650;1.439162;1.000009;0.192754;1.000004;0.999923;
0.002530;1.088307;1.042857;1.427676;1.437350;1.000009;0.195734;1.000004;0.999923;
0.002540;1.107261;1.042691;1.421782;1.435416;1.000009;0.198156;1.000004;0.999922;
0.002550;1.124920;1.042650;1.415971;1.433354;1.000009;0.199964;1.000004;0.999922;
0.002560;1.140966;1.042718;1.410244;1.431160;1.000009;0.201118;1.000004;0.999922;
0.002570;1.155121;1.042882;1.404601;1.428830;1.000009;0.201591;1.000004;0.999921;
0.002580;1.167150;1.043133;1.399043;1.426360;1.000009;0.201374;1.000004;0.999921;
0.002590;1.176859;1.043464;1.393568;1.423748;1.000009;0.200470;1.000004;0.999921;
0.002600;1.184098;1.043871;1.388174;1.420994;1.000009;0.198903;1.000004;0.999921;
0.002610;1.188759;1.044353;1.382858;1.418096;1.000009;0.196708;1.000004;0.999920;
0.002620;1.190778;1.044911;1.377617;1.415054;1.000009;0.193939;1.000004;0.999920;
0.002630;1.190132;1.045550;1.372448;1.411869;1.000009;0.190663;1.000004;0.999920;
0.002640;1.186845;1.046276;1.367346;1.408542;1.000009;0.186957;1.000004;0.999919;
0.002650;1.180984;1.047099;1.362305;1.405077;1.000009;0.182913;1.000004;0.999919;
0.002660;1.172662;1.048028;1.357322;1.401475;1.000009;0.178633;1.000004;0.999919;
0.002670;1.162035;1.049075;1.352391;1.397739;1.000009;0.174209;1.000004;0.999919;
0.002680;1.149299;1.050254;1.347507;1.393874;1.000009;0.169756;1.000004;0.999918;
0.002690;1.134698;1.051577;1.342664;1.389884;1.000009;0.165383;1.000004;0.999918;
0.002700;1.118519;1.053058;1.337856;1.385774;1.000009;0.161198;1.000004;0.999918;
0.002710;1.101094;1.054709;1.333079;1.381548;1.000009;0.157305;1.000004;0.999918;
0.002720;1.082794;1.056541;1.328327;1.377212;1.000009;0.153802;1.000004;0.999918;
0.002730;1.064029;1.058566;1.323596;1.372772;1.000009;0.150780;1.000004;0.999917;
0.002740;1.045243;1.060791;1.318880;1.368233;1.000009;0.148316;1.000004;0.999917;
0.002750;1.026907;1.063222;1.314177;1.363601;1.000010;0.146477;1.000004;0.999917;
0.002760;1.009509;1.065861;1.309481;1.358882;1.000010;0.145312;1.000004;0.999917;
0.002770;0.993541;1.068710;1.304789;1.354083;1.000010;0.144857;1.000004;0.999917;
0.002780;0.979482;1.071764;1.300100;1.349208;1.000010;0.145127;1.000004;0.999916;
0.002790;0.967777;1.075017;1.295410;1.344265;1.000010;0.146121;1.000004;0.999916;
0.002800;0.958818;1.078457;1.290718;1.339259;1.000010;0.147817;1.000005;0.999916;
0.002810;0.952917;1.082071;1.286023;1.334195;1.000010;0.150175;1.000005;0.999916;
0.002820;0.950285;1.085840;1.281325;1.329079;1.000010;0.153139;1.000005;0.999916;
0.002830;0.951021;1.089744;1.276624;1.323916;1.000010;0.156632;1.000005;0.999916;
