time;NETWORK_B0_Urms;MACHINE_machine_omegaPu;MACHINE_machine_PGenPu;MACHINE_machine_UStatorPu;MACHINE_machine_terminal_i_0_;MACHINE_machine_terminal_i_1_;MACHINE_machine_terminal_i_2_;
0.002680;1.014354;0.999997;0.519168;1.014355;-0.457886;-0.257462;0.715348;
0.002690;1.016671;0.999997;0.520215;1.016673;-0.456003;-0.259471;0.715474;
0.002700;1.018943;0.999997;0.521201;1.018947;-0.454100;-0.261439;0.715539;
0.002710;1.021164;0.999997;0.522124;1.021168;-0.452181;-0.263364;0.715545;
0.002720;1.023324;0.999997;0.522979;1.023329;-0.450244;-0.265249;0.715493;
0.002730;1.025416;0.999997;0.523763;1.025423;-0.448291;-0.267094;0.715385;
0.002740;1.027432;0.999997;0.524474;1.027440;-0.446323;-0.268900;0.715223;
0.002750;1.029366;0.999997;0.525109;1.029376;-0.444340;-0.270668;0.715008;
0.002760;1.031211;0.999997;0.525666;1.031221;-0.442344;-0.272399;0.714743;
0.002770;1.032959;0.999997;0.526142;1.032970;-0.440334;-0.274095;0.714430;
0.002780;1.034604;0.999997;0.526536;1.034617;-0.438314;-0.275757;0.714071;
0.002790;1.036141;0.999997;0.526846;1.036155;-0.436282;-0.277387;0.713669;
0.002800;1.037564;0.999997;0.527072;1.037578;-0.434240;-0.278986;0.713226;
0.002810;1.038867;0.999997;0.527212;1.038883;-0.432190;-0.280556;0.712746;
0.002820;1.040047;0.999997;0.527267;1.040063;-0.430131;-0.282100;0.712231;
0.002830;1.041098;0.999997;0.527236;1.041115;-0.428066;-0.283618;0.711684;
0.002840;1.042016;0.999997;0.527120;1.042034;-0.425994;-0.285113;0.711107;
0.002850;1.042799;0.999997;0.526919;1.042818;-0.423918;-0.286587;0.710505;
0.002860;1.043443;0.999997;0.526635;1.043463;-0.421838;-0.288043;0.709881;
0.002870;1.043947;0.999997;0.526268;1.043967;-0.419754;-0.289482;0.709237;
0.002880;1.044307;0.999997;0.525820;1.044328;-0.417669;-0.290907;0.708577;
0.002890;1.044524;0.999997;0.525293;1.044544;-0.415583;-0.292320;0.707903;
0.002900;1.044595;0.999997;0.524689;1.044616;-0.413497;-0.293724;0.707220;
0.002910;1.044521;0.999997;0.524011;1.044542;-0.411411;-0.295120;0.706531;
0.002920;1.044301;0.999997;0.523261;1.044323;-0.409328;-0.296511;0.705839;
0.002930;1.043937;0.999997;0.522442;1.043959;-0.407247;-0.297900;0.705147;
0.002940;1.043430;0.999997;0.521558;1.043451;-0.405170;-0.299289;0.704458;
0.002950;1.042781;0.999997;0.520612;1.042802;-0.403097;-0.300680;0.703776;
0.002960;1.041992;0.999997;0.519608;1.042014;-0.401029;-0.302075;0.703104;
0.002970;1.041067;0.999997;0.518548;1.041088;-0.398967;-0.303477;0.702444;
0.002980;1.040008;0.999997;0.517439;1.040029;-0.396912;-0.304889;0.701800;
0.002990;1.038820;0.999997;0.516282;1.038841;-0.394864;-0.306311;0.701175;
0.003000;1.037506;0.999997;0.515084;1.037526;-0.392824;-0.307747;0.700571;
0.003010;1.036071;0.999997;0.513847;1.036091;-0.390792;-0.309199;0.699991;
0.003020;1.034521;0.999997;0.512577;1.034539;-0.388770;-0.310668;0.699438;
0.003030;1.032859;0.999997;0.511278;1.032877;-0.386757;-0.312157;0.698914;
0.003040;1.031093;0.999997;0.509955;1.031111;-0.384755;-0.313667;0.698422;
0.003050;1.029229;0.999997;0.508613;1.029246;-0.382763;-0.315200;0.697963;
0.003060;1.027273;0.999997;0.507256;1.027288;-0.380782;-0.316758;0.697539;
0.003070;1.025232;0.999997;0.505889;1.025246;-0.378812;-0.318342;0.697154;
0.003080;1.023113;0.999997;0.504516;1.023126;-0.376853;-0.319954;0.696807;
0.003090;1.020924;0.999997;0.503143;1.020936;-0.374906;-0.321595;0.696501;
0.003100;1.018672;0.999997;0.501774;1.018683;-0.372971;-0.323267;0.696238;
0.003110;1.016366;0.999997;0.500414;1.016375;-0.371047;-0.324970;0.696017;
