time;NETWORK_B1_v_a;NETWORK_B1_Urms;NETWORK_LINE_i_a;NETWORK_LINE_Irms;
0.004390;0.369983;0.980667;0.101891;0.494280;
0.004400;0.365828;0.980676;0.099818;0.494290;
0.004410;0.361673;0.980685;0.097743;0.494299;
0.004420;0.357518;0.980695;0.095666;0.494309;
0.004430;0.353364;0.980705;0.093587;0.494318;
0.004440;0.349209;0.980716;0.091506;0.494327;
0.004450;0.345054;0.980727;0.089422;0.494335;
0.004460;0.340898;0.980739;0.087336;0.494344;
0.004470;0.336742;0.980750;0.085248;0.494351;
0.004480;0.332586;0.980763;0.083157;0.494359;
0.004490;0.328429;0.980775;0.081064;0.494366;
0.004500;0.324271;0.980788;0.078969;0.494373;
0.004510;0.320112;0.980801;0.076871;0.494380;
0.004520;0.315952;0.980814;0.074770;0.494386;
0.004530;0.311791;0.980827;0.072668;0.494392;
0.004540;0.307629;0.980841;0.070562;0.494398;
0.004550;0.303466;0.980854;0.068455;0.494403;
0.004560;0.299301;0.980868;0.066344;0.494408;
0.004570;0.295135;0.980882;0.064232;0.494413;
0.004580;0.290968;0.980895;0.062116;0.494418;
0.004590;0.286799;0.980909;0.059998;0.494422;
0.004600;0.282628;0.980923;0.057878;0.494426;
0.004610;0.278455;0.980936;0.055755;0.494430;
0.004620;0.274280;0.980949;0.053629;0.494433;
0.004630;0.270104;0.980963;0.051501;0.494436;
0.004640;0.265925;0.980976;0.049371;0.494439;
0.004650;0.261745;0.980989;0.047238;0.494442;
0.004660;0.257562;0.981002;0.045102;0.494445;
0.004670;0.253377;0.981015;0.042964;0.494447;
0.004680;0.249189;0.981027;0.040824;0.494449;
0.004690;0.245000;0.981040;0.038681;0.494451;
0.004700;0.240807;0.981052;0.036535;0.494453;
0.004710;0.236613;0.981064;0.034388;0.494455;
0.004720;0.232415;0.981076;0.032238;0.494456;
0.004730;0.228216;0.981087;0.030085;0.494457;
0.004740;0.224013;0.981098;0.027930;0.494458;
0.004750;0.219808;0.981109;0.025773;0.494459;
0.004760;0.215600;0.981120;0.023614;0.494460;
0.004770;0.211389;0.981130;0.021453;0.494461;
0.004780;0.207176;0.981140;0.019289;0.494462;
0.004790;0.202959;0.981150;0.017123;0.494462;
0.004800;0.198740;0.981160;0.014955;0.494463;
0.004810;0.194518;0.981169;0.012786;0.494463;
0.004820;0.190293;0.981178;0.010614;0.494463;
0.004830;0.186065;0.981186;0.008440;0.494463;
0.004840;0.181834;0.981195;0.006264;0.494463;
0.004850;0.177599;0.981203;0.004086;0.494464;
0.004860;0.173362;0.981210;0.001907;0.494464;
