time;GEN_generator_theta;GEN_generator_omegaPu;GEN_generator_eqPPu;GEN_generator_edPPu;GEN_generator_eqPPPu;GEN_generator_edPPPu;GEN_generator_PGenPu;GEN_generator_QGenPu;GEN_generator_psiAgPu;GEN_generator_psiArgPu;GEN_generator_satDPu;GEN_generator_satQPu;GEN_generator_UPu;
1.045056;0.981780;1.003865;0.830750;0.511069;0.560976;0.357961;0.000000;0.000000;0.470307;0.595698;1.111240;1.105678;0.000000;
1.045977;0.982910;1.003941;0.830128;0.509202;0.559157;0.354246;0.000000;0.000000;0.468297;0.593151;1.114875;1.109132;0.000000;
1.046899;0.984062;1.004017;0.829500;0.507320;0.557396;0.350603;0.000000;0.000000;0.466344;0.590677;1.118480;1.112556;0.000000;
1.047821;0.985236;1.004093;0.828865;0.505421;0.555691;0.347033;0.000000;0.000000;0.464446;0.588273;1.122052;1.115949;0.000000;
1.048742;0.986432;1.004170;0.828223;0.503508;0.554041;0.343533;0.000000;0.000000;0.462601;0.585937;1.125589;1.119309;0.000000;
1.049664;0.987650;1.004246;0.827576;0.501581;0.552444;0.340102;0.000000;0.000000;0.460808;0.583666;1.129090;1.122636;0.000000;
1.050585;0.988891;1.004322;0.826923;0.499639;0.550897;0.336738;0.000000;0.000000;0.459065;0.581458;1.132554;1.125927;0.000000;
1.051507;0.990153;1.004398;0.826264;0.497685;0.549400;0.333438;0.000000;0.000000;0.457371;0.579312;1.135980;1.129181;0.000000;
1.052429;0.991437;1.004474;0.825600;0.495718;0.547950;0.330203;0.000000;0.000000;0.455723;0.577225;1.139367;1.132398;0.000000;
1.053350;0.992744;1.004550;0.824930;0.493740;0.546546;0.327030;0.000000;0.000000;0.454121;0.575196;1.142713;1.135577;0.000000;
1.054272;0.994072;1.004627;0.824255;0.491750;0.545186;0.323917;0.000000;0.000000;0.452563;0.573222;1.146018;1.138717;0.000000;
1.055193;0.995423;1.004703;0.823576;0.489750;0.543868;0.320863;0.000000;0.000000;0.451046;0.571301;1.149281;1.141817;0.000000;
1.056115;0.996796;1.004779;0.822891;0.487739;0.542591;0.317867;0.000000;0.000000;0.449571;0.569433;1.152503;1.144878;0.000000;
1.057037;0.998190;1.004855;0.822202;0.485720;0.541354;0.314927;0.000000;0.000000;0.448136;0.567614;1.155682;1.147898;0.000000;
1.057958;0.999607;1.004931;0.821508;0.483691;0.540154;0.312042;0.000000;0.000000;0.446738;0.565845;1.158819;1.150878;0.000000;
1.058880;1.001045;1.005007;0.820811;0.481653;0.538991;0.309210;0.000000;0.000000;0.445378;0.564122;1.161912;1.153817;0.000000;
1.059801;1.002506;1.005083;0.820109;0.479608;0.537864;0.306430;0.000000;0.000000;0.444053;0.562444;1.164964;1.156715;0.000000;
1.060723;1.003989;1.005159;0.819403;0.477556;0.536770;0.303701;0.000000;0.000000;0.442763;0.560810;1.167972;1.159574;0.000000;
1.061645;1.005494;1.005235;0.818693;0.475497;0.535708;0.301021;0.000000;0.000000;0.441507;0.559218;1.170938;1.162391;0.000000;
1.062566;1.007021;1.005311;0.817980;0.473431;0.534678;0.298390;0.000000;0.000000;0.440282;0.557668;1.173862;1.165169;0.000000;
1.063488;1.008569;1.005388;0.817264;0.471359;0.533678;0.295806;0.000000;0.000000;0.439089;0.556156;1.176744;1.167906;0.000000;
1.064409;1.010140;1.005464;0.816544;0.469282;0.532707;0.293267;0.000000;0.000000;0.437926;0.554683;1.179584;1.170605;0.000000;
1.065331;1.011733;1.005540;0.815820;0.467201;0.531763;0.290773;0.000000;0.000000;0.436792;0.553247;1.182382;1.173263;0.000000;
1.066253;1.013348;1.005616;0.815094;0.465114;0.530846;0.288322;0.000000;0.000000;0.435687;0.551847;1.185141;1.175884;0.000000;
1.068096;1.016644;1.005768;0.813633;0.460931;0.529086;0.283546;0.000000;0.000000;0.433554;0.549146;1.190539;1.181012;0.000000;
1.069755;1.019685;1.005904;0.812308;0.457154;0.527582;0.279385;0.000000;0.000000;0.431722;0.546825;1.195264;1.185500;0.000000;
