time;CAPBUS_cap_p_v_0_;MACHINE_generator_terminal_i_0_;MACHINE_generator_omegaPu;MACHINE_generator_UStatorPu;MACHINE_generator_efdPu;MACHINE_generator_ifPu;MACHINE_voltageRegulator_EfdPu;
0.005140;0.122870;-0.014533;0.999988;0.859357;2.687597;0.949956;2.687597;
0.005160;0.114393;-0.009513;0.999988;0.858610;2.702529;0.950781;2.702529;
0.005180;0.105663;-0.004515;0.999988;0.858718;2.700366;0.951618;2.700366;
0.005200;0.096688;0.000474;0.999988;0.859664;2.681460;0.952457;2.681460;
0.005220;0.087484;0.005468;0.999988;0.861409;2.646544;0.953286;2.646544;
0.005240;0.078078;0.010478;0.999988;0.863901;2.596708;0.954094;2.596708;
0.005260;0.068508;0.015518;0.999988;0.867069;2.533361;0.954871;2.533361;
0.005280;0.058819;0.020599;0.999988;0.870827;2.458190;0.955608;2.458190;
0.005300;0.049064;0.025729;0.999987;0.875081;2.373111;0.956296;2.373111;
0.005320;0.039302;0.030919;0.999987;0.879726;2.280213;0.956928;2.280213;
0.005340;0.029595;0.036175;0.999987;0.884652;2.181700;0.957498;2.181700;
0.005360;0.020006;0.041502;0.999987;0.889745;2.079830;0.958002;2.079830;
0.005380;0.010599;0.046904;0.999987;0.894894;1.976850;0.958438;1.976850;
0.005400;0.001434;0.052382;0.999987;0.899990;1.874939;0.958804;1.874939;
0.005420;-0.007430;0.057937;0.999987;0.904929;1.776143;0.959102;1.776143;
0.005440;-0.015944;0.063567;0.999987;0.909620;1.682324;0.959332;1.682324;
0.005460;-0.024066;0.069269;0.999987;0.913981;1.595107;0.959499;1.595107;
0.005480;-0.031761;0.075037;0.999987;0.917944;1.515842;0.959605;1.515842;
0.005500;-0.039009;0.080867;0.999987;0.921458;1.445571;0.959658;1.445571;
0.005520;-0.045797;0.086751;0.999986;0.924486;1.385002;0.959662;1.385002;
0.005540;-0.052127;0.092682;0.999986;0.927012;1.334500;0.959625;1.334500;
0.005560;-0.058011;0.098652;0.999986;0.929032;1.294083;0.959553;1.294083;
0.005580;-0.063476;0.104654;0.999986;0.930565;1.263438;0.959453;1.263438;
