time;GEN_generator_theta;GEN_generator_omegaPu;GEN_generator_eqPPu;GEN_generator_psi1d;GEN_generator_psi2q;GEN_generator_PGenPu;GEN_generator_QGenPu;GEN_generator_sePu;GEN_generator_UPu;
1.163389;0.657140;1.002311;0.984706;0.894683;-0.308814;0.990381;-0.134619;0.088094;0.967259;
1.165232;0.658456;1.002236;0.984663;0.895912;-0.311087;0.990639;-0.130857;0.088061;0.967864;
1.167075;0.659729;1.002161;0.984621;0.897071;-0.313297;0.990843;-0.127249;0.088029;0.968444;
1.168918;0.660959;1.002086;0.984580;0.898162;-0.315444;0.990993;-0.123790;0.087999;0.969001;
1.170761;0.662145;1.002011;0.984541;0.899190;-0.317531;0.991088;-0.120474;0.087968;0.969535;
1.172605;0.663288;1.001936;0.984502;0.900158;-0.319558;0.991127;-0.117294;0.087939;0.970049;
1.174448;0.664387;1.001861;0.984463;0.901069;-0.321528;0.991111;-0.114244;0.087910;0.970542;
1.176291;0.665443;1.001786;0.984426;0.901927;-0.323441;0.991040;-0.111319;0.087881;0.971015;
1.178134;0.666456;1.001711;0.984389;0.902733;-0.325299;0.990913;-0.108514;0.087854;0.971471;
1.179977;0.667425;1.001636;0.984353;0.903492;-0.327104;0.990731;-0.105823;0.087826;0.971909;
1.181821;0.668350;1.001561;0.984318;0.904205;-0.328856;0.990492;-0.103241;0.087800;0.972330;
1.183664;0.669233;1.001486;0.984283;0.904875;-0.330557;0.990197;-0.100764;0.087773;0.972735;
1.185507;0.670072;1.001412;0.984249;0.905505;-0.332208;0.989847;-0.098387;0.087747;0.973126;
1.187350;0.670867;1.001337;0.984216;0.906096;-0.333810;0.989439;-0.096106;0.087722;0.973502;
1.189193;0.671620;1.001262;0.984183;0.906652;-0.335364;0.988976;-0.093916;0.087697;0.973865;
1.191037;0.672329;1.001188;0.984150;0.907173;-0.336872;0.988456;-0.091814;0.087672;0.974214;
1.192880;0.672996;1.001114;0.984118;0.907663;-0.338333;0.987880;-0.089796;0.087648;0.974551;
1.194723;0.673619;1.001039;0.984086;0.908123;-0.339750;0.987248;-0.087857;0.087624;0.974877;
1.196566;0.674200;1.000965;0.984055;0.908554;-0.341124;0.986560;-0.085996;0.087600;0.975192;
1.198409;0.674737;1.000891;0.984024;0.908959;-0.342454;0.985815;-0.084207;0.087577;0.975496;
1.202096;0.675684;1.000744;0.983963;0.909699;-0.344990;0.984157;-0.080833;0.087531;0.976075;
1.205414;0.676392;1.000612;0.983910;0.910289;-0.347134;0.982474;-0.078015;0.087490;0.976565;
1.208731;0.676962;1.000481;0.983857;0.910817;-0.349152;0.980610;-0.075389;0.087450;0.977028;
1.212049;0.677396;1.000351;0.983805;0.911291;-0.351048;0.978566;-0.072939;0.087411;0.977467;
1.215367;0.677695;1.000222;0.983755;0.911716;-0.352825;0.976343;-0.070652;0.087373;0.977884;
1.218685;0.677860;1.000094;0.983705;0.912099;-0.354488;0.973943;-0.068515;0.087335;0.978281;
1.222002;0.677891;0.999966;0.983655;0.912445;-0.356040;0.971366;-0.066516;0.087298;0.978660;
1.225320;0.677791;0.999840;0.983607;0.912761;-0.357485;0.968615;-0.064645;0.087261;0.979022;
1.228638;0.677559;0.999715;0.983559;0.913051;-0.358825;0.965691;-0.062891;0.087225;0.979369;
1.231956;0.677198;0.999591;0.983512;0.913319;-0.360063;0.962596;-0.061246;0.087189;0.979703;
1.235273;0.676708;0.999469;0.983466;0.913570;-0.361202;0.959331;-0.059701;0.087154;0.980024;
1.238591;0.676092;0.999348;0.983421;0.913806;-0.362246;0.955901;-0.058247;0.087120;0.980334;
1.241909;0.675350;0.999228;0.983376;0.914032;-0.363196;0.952305;-0.056878;0.087086;0.980633;
1.245227;0.674484;0.999110;0.983332;0.914250;-0.364054;0.948548;-0.055587;0.087053;0.980924;
1.248544;0.673496;0.998993;0.983289;0.914464;-0.364824;0.944632;-0.054369;0.087020;0.981207;
1.251862;0.672388;0.998878;0.983246;0.914675;-0.365507;0.940560;-0.053216;0.086988;0.981482;
1.255180;0.671160;0.998765;0.983205;0.914886;-0.366105;0.936334;-0.052125;0.086957;0.981750;
1.258498;0.669816;0.998654;0.983164;0.915098;-0.366620;0.931957;-0.051091;0.086926;0.982012;
1.261815;0.668357;0.998545;0.983124;0.915315;-0.367054;0.927434;-0.050109;0.086896;0.982268;
1.265133;0.666784;0.998437;0.983086;0.915537;-0.367410;0.922767;-0.049175;0.086867;0.982519;
1.268451;0.665101;0.998331;0.983048;0.915765;-0.367687;0.917960;-0.048287;0.086838;0.982766;
1.271769;0.663308;0.998228;0.983011;0.916002;-0.367889;0.913016;-0.047439;0.086810;0.983009;
1.275087;0.661409;0.998126;0.982975;0.916248;-0.368017;0.907939;-0.046630;0.086783;0.983247;
1.278404;0.659405;0.998027;0.982940;0.916504;-0.368073;0.902734;-0.045857;0.086757;0.983482;
1.281722;0.657298;0.997930;0.982907;0.916771;-0.368057;0.897404;-0.045117;0.086732;0.983714;
