time;GEN1A_generator_omegaPu;GEN1A_generator_PGenPu;GEN1A_generator_UPu;GEN1B_generator_omegaPu;GEN1B_generator_PGenPu;GEN1B_generator_UPu;GEN2A_generator_omegaPu;GEN2A_generator_PGenPu;GEN2A_generator_UPu;GEN2B_generator_omegaPu;GEN2B_generator_PGenPu;GEN2B_generator_UPu;OMEGA_REF_omegaRef_grp_0_value;OMEGA_REF_omegaRef_grp_1_value;OMEGA_REF_omegaRef_grp_2_value;OMEGA_REF_omegaRef_grp_3_value;OMEGA_REF_omegaRef_0_value;OMEGA_REF_omegaRef_1_value;NETWORK_GEN1A_BUS_numcc_value;NETWORK_GEN2A_BUS_numcc_value;
3.480114;1.031748;4.627741;1.078486;1.031713;3.264873;1.076278;1.028756;4.028633;0.908252;1.028936;3.754047;0.902129;1.031733;1.031733;1.028843;1.028843;1.031733;1.028843;0.000000;1.000000;
3.536301;1.032496;4.630749;1.078417;1.032377;3.261514;1.076282;1.029303;4.018577;0.908089;1.029693;3.759787;0.901622;1.032446;1.032446;1.029492;1.029492;1.032446;1.029492;0.000000;1.000000;
3.592488;1.033228;4.635794;1.078298;1.033072;3.255846;1.076286;1.029912;4.003686;0.907828;1.030387;3.768051;0.900853;1.033162;1.033162;1.030142;1.030142;1.033162;1.030142;0.000000;1.000000;
3.648676;1.033939;4.640944;1.078173;1.033805;3.250029;1.076286;1.030593;3.988552;0.907545;1.031008;3.776231;0.900055;1.033882;1.033882;1.030794;1.030794;1.033882;1.030794;0.000000;1.000000;
3.687267;1.034414;4.643111;1.078120;1.034333;3.247575;1.076286;1.031109;3.981559;0.907413;1.031387;3.780004;0.899686;1.034380;1.034380;1.031243;1.031243;1.034380;1.031243;0.000000;1.000000;
3.725859;1.034887;4.643742;1.078105;1.034864;3.246861;1.076286;1.031635;3.978512;0.907353;1.031755;3.781620;0.899523;1.034877;1.034877;1.031693;1.031693;1.034877;1.031693;0.000000;1.000000;
3.764450;1.035363;4.643010;1.078123;1.035390;3.247690;1.076286;1.032157;3.979272;0.907369;1.032127;3.781219;0.899564;1.035374;1.035374;1.032143;1.032143;1.035374;1.032143;0.000000;1.000000;
3.841633;1.036327;4.639641;1.078205;1.036420;3.251500;1.076286;1.033164;3.987248;0.907523;1.032908;3.776962;0.899989;1.036366;1.036366;1.033040;1.033040;1.036366;1.033040;0.000000;1.000000;
3.911097;1.037215;4.635500;1.078304;1.037310;3.256170;1.076285;1.034005;3.999726;0.907755;1.033675;3.770201;0.900645;1.037255;1.037255;1.033845;1.033845;1.037255;1.033845;0.000000;1.000000;
3.980562;1.038119;4.632468;1.078377;1.038170;3.259583;1.076283;1.034774;4.011693;0.907969;1.034514;3.763613;0.901267;1.038140;1.038140;1.034648;1.034648;1.038140;1.034648;0.000000;1.000000;
4.029579;1.038763;4.632380;1.078379;1.038766;3.259681;1.076283;1.035274;4.015680;0.908038;1.035149;3.761390;0.901472;1.038764;1.038764;1.035214;1.035214;1.038764;1.035214;0.000000;1.000000;
4.078597;1.039403;4.633525;1.078352;1.039369;3.258396;1.076284;1.035777;4.015522;0.908036;1.035782;3.761486;0.901464;1.039389;1.039389;1.035779;1.035779;1.039389;1.035779;0.000000;1.000000;
4.127614;1.040036;4.635261;1.078310;1.039985;3.256442;1.076285;1.036295;4.012199;0.907979;1.036400;3.763344;0.901294;1.040014;1.040014;1.036345;1.036345;1.040014;1.036345;0.000000;1.000000;
4.176632;1.040664;4.637072;1.078267;1.040609;3.254398;1.076285;1.036828;4.007402;0.907893;1.037002;3.765985;0.901045;1.040641;1.040641;1.036912;1.036912;1.040641;1.036912;0.000000;1.000000;
4.225649;1.041288;4.638621;1.078229;1.041243;3.252647;1.076286;1.037383;4.001742;0.907790;1.037582;3.769085;0.900749;1.041269;1.041269;1.037479;1.037479;1.041269;1.037479;0.000000;1.000000;
4.323684;1.042526;4.639777;1.078201;1.042525;3.251347;1.076286;1.038553;3.992728;0.907626;1.038683;3.774014;0.900279;1.042526;1.042526;1.038616;1.038616;1.042526;1.038616;0.000000;1.000000;
