time;GEN_generator_theta;GEN_generator_omegaPu;GEN_generator_eqPPu;GEN_generator_edPPu;GEN_generator_PGenPu;GEN_generator_QGenPu;GEN_generator_UPu;
2.043938;1.094570;0.997477;0.766085;0.591976;0.815619;0.004658;0.993086;
2.050286;1.089429;0.997363;0.765897;0.592414;0.804752;0.005115;0.993361;
2.056633;1.084070;0.997257;0.765726;0.592792;0.793522;0.005505;0.993630;
2.062981;1.078509;0.997161;0.765571;0.593109;0.781968;0.005824;0.993891;
2.069328;1.072765;0.997074;0.765435;0.593366;0.770130;0.006068;0.994141;
2.075041;1.067454;0.997004;0.765327;0.593544;0.759263;0.006223;0.994358;
2.080754;1.062024;0.996941;0.765234;0.593673;0.748227;0.006312;0.994564;
2.086466;1.056489;0.996887;0.765156;0.593751;0.737052;0.006336;0.994760;
2.092179;1.050863;0.996840;0.765094;0.593779;0.725770;0.006293;0.994945;
2.097892;1.045162;0.996802;0.765047;0.593757;0.714410;0.006183;0.995117;
2.103605;1.039399;0.996772;0.765015;0.593685;0.703003;0.006006;0.995277;
2.109317;1.033589;0.996750;0.764998;0.593564;0.691579;0.005761;0.995423;
2.115030;1.027747;0.996736;0.764997;0.593393;0.680169;0.005450;0.995556;
2.120743;1.021888;0.996730;0.765012;0.593173;0.668802;0.005074;0.995676;
2.126455;1.016026;0.996733;0.765041;0.592906;0.657509;0.004633;0.995781;
2.132168;1.010176;0.996743;0.765086;0.592591;0.646317;0.004131;0.995872;
2.137881;1.004351;0.996762;0.765146;0.592230;0.635257;0.003569;0.995950;
2.143594;0.998567;0.996788;0.765220;0.591824;0.624354;0.002950;0.996014;
2.149306;0.992837;0.996822;0.765310;0.591373;0.613638;0.002278;0.996064;
2.155019;0.987175;0.996864;0.765413;0.590879;0.603132;0.001555;0.996101;
2.160732;0.981594;0.996913;0.765530;0.590343;0.592864;0.000785;0.996125;
2.166445;0.976108;0.996969;0.765661;0.589767;0.582857;-0.000028;0.996137;
2.172157;0.970729;0.997033;0.765806;0.589153;0.573135;-0.000879;0.996137;
2.177870;0.965470;0.997103;0.765963;0.588501;0.563719;-0.001764;0.996125;
2.183583;0.960343;0.997180;0.766133;0.587815;0.554631;-0.002679;0.996103;
2.189296;0.955359;0.997263;0.766315;0.587095;0.545891;-0.003618;0.996070;
2.195008;0.950530;0.997352;0.766508;0.586344;0.537516;-0.004578;0.996029;
2.200721;0.945866;0.997447;0.766712;0.585563;0.529525;-0.005552;0.995979;
2.206434;0.941378;0.997548;0.766928;0.584756;0.521933;-0.006537;0.995921;
2.212147;0.937074;0.997654;0.767153;0.583924;0.514756;-0.007527;0.995856;
2.217859;0.932965;0.997765;0.767387;0.583069;0.508006;-0.008517;0.995785;
2.223572;0.929059;0.997880;0.767631;0.582195;0.501696;-0.009503;0.995708;
2.229285;0.925364;0.998000;0.767883;0.581303;0.495836;-0.010479;0.995627;
2.234998;0.921887;0.998124;0.768143;0.580396;0.490437;-0.011442;0.995542;
2.240710;0.918636;0.998251;0.768410;0.579476;0.485506;-0.012386;0.995454;
2.246423;0.915616;0.998382;0.768684;0.578546;0.481050;-0.013308;0.995363;
2.252136;0.912833;0.998515;0.768963;0.577610;0.477076;-0.014202;0.995271;
2.257849;0.910292;0.998652;0.769248;0.576668;0.473588;-0.015067;0.995178;
2.263561;0.907997;0.998790;0.769538;0.575725;0.470588;-0.015897;0.995085;
2.269274;0.905953;0.998931;0.769832;0.574782;0.468080;-0.016689;0.994991;
2.274987;0.904162;0.999073;0.770129;0.573842;0.466064;-0.017441;0.994899;
2.280700;0.902627;0.999216;0.770430;0.572909;0.464540;-0.018150;0.994807;
2.286412;0.901350;0.999360;0.770732;0.571983;0.463507;-0.018812;0.994717;
2.292125;0.900331;0.999505;0.771036;0.571069;0.462962;-0.019427;0.994630;
2.297838;0.899572;0.999649;0.771341;0.570169;0.462902;-0.019992;0.994545;
2.303551;0.899073;0.999794;0.771647;0.569285;0.463324;-0.020505;0.994462;
2.309263;0.898832;0.999938;0.771952;0.568419;0.464220;-0.020965;0.994383;
2.314976;0.898849;1.000081;0.772256;0.567574;0.465586;-0.021371;0.994306;
2.320689;0.899122;1.000223;0.772559;0.566752;0.467414;-0.021723;0.994233;
2.326402;0.899648;1.000364;0.772860;0.565955;0.469695;-0.022020;0.994163;
2.332114;0.900424;1.000502;0.773157;0.565185;0.472422;-0.022263;0.994097;
2.337827;0.901447;1.000639;0.773452;0.564445;0.475584;-0.022450;0.994034;
2.343540;0.902713;1.000773;0.773743;0.563736;0.479171;-0.022583;0.993974;
2.349253;0.904217;1.000904;0.774029;0.563060;0.483171;-0.022663;0.993918;
2.354965;0.905954;1.001032;0.774310;0.562419;0.487572;-0.022690;0.993864;
2.360678;0.907917;1.001157;0.774586;0.561815;0.492362;-0.022666;0.993814;
2.366391;0.910102;1.001279;0.774855;0.561247;0.497527;-0.022591;0.993766;
2.372104;0.912500;1.001396;0.775118;0.560719;0.503053;-0.022469;0.993721;
2.377816;0.915106;1.001510;0.775374;0.560231;0.508925;-0.022300;0.993678;
2.383529;0.917911;1.001619;0.775623;0.559785;0.515128;-0.022086;0.993638;
2.389242;0.920907;1.001723;0.775863;0.559380;0.521645;-0.021829;0.993599;
2.394955;0.924087;1.001823;0.776095;0.559019;0.528461;-0.021532;0.993561;
