time;MACHINE_machine_omegaPu;MACHINE_machine_UStatorPu;MACHINE_machine_PGenPu;BUSGEN_bus_p_v_0_;BUSHV_bus_p_v_0_;
0.005820;0.999991;0.934008;0.547233;-0.612251;-0.516617;
0.005840;0.999991;0.928968;0.544621;-0.619028;-0.523704;
0.005860;0.999992;0.923968;0.542146;-0.625724;-0.530789;
0.005880;0.999992;0.919017;0.539811;-0.632338;-0.537872;
0.005900;0.999992;0.914124;0.537617;-0.638870;-0.544954;
0.005920;0.999992;0.909300;0.535566;-0.645321;-0.552032;
0.005940;0.999992;0.904553;0.533659;-0.651692;-0.559107;
0.005960;0.999992;0.899892;0.531897;-0.657985;-0.566176;
0.005980;0.999992;0.895327;0.530281;-0.664201;-0.573238;
0.006000;0.999992;0.890867;0.528813;-0.670343;-0.580291;
0.006020;0.999992;0.886519;0.527492;-0.676414;-0.587332;
0.006040;0.999992;0.882294;0.526321;-0.682416;-0.594359;
0.006060;0.999992;0.878198;0.525299;-0.688354;-0.601368;
0.006080;0.999992;0.874240;0.524427;-0.694231;-0.608358;
0.006100;0.999993;0.870427;0.523706;-0.700051;-0.615324;
0.006120;0.999993;0.866768;0.523136;-0.705818;-0.622264;
0.006140;0.999993;0.863268;0.522718;-0.711538;-0.629173;
0.006160;0.999993;0.859935;0.522452;-0.717214;-0.636048;
0.006180;0.999993;0.856774;0.522338;-0.722852;-0.642887;
0.006200;0.999993;0.853793;0.522377;-0.728457;-0.649685;
0.006220;0.999993;0.850996;0.522568;-0.734033;-0.656438;
0.006240;0.999993;0.848388;0.522911;-0.739587;-0.663145;
0.006260;0.999993;0.845975;0.523407;-0.745122;-0.669801;
0.006280;0.999993;0.843760;0.524055;-0.750643;-0.676404;
0.006300;0.999993;0.841747;0.524854;-0.756157;-0.682951;
0.006320;0.999993;0.839939;0.525805;-0.761666;-0.689440;
0.006340;0.999993;0.838340;0.526906;-0.767176;-0.695868;
0.006360;0.999993;0.836951;0.528156;-0.772692;-0.702235;
0.006380;0.999993;0.835773;0.529554;-0.778216;-0.708537;
0.006400;0.999993;0.834809;0.531100;-0.783752;-0.714776;
0.006420;0.999993;0.834059;0.532790;-0.789305;-0.720949;
0.006440;0.999993;0.833523;0.534624;-0.794877;-0.727057;
0.006460;0.999993;0.833199;0.536599;-0.800471;-0.733100;
0.006480;0.999993;0.833089;0.538713;-0.806090;-0.739079;
0.006500;0.999993;0.833189;0.540963;-0.811734;-0.744995;
0.006520;0.999993;0.833498;0.543346;-0.817406;-0.750849;
0.006540;0.999993;0.834013;0.545858;-0.823107;-0.756645;
0.006560;0.999993;0.834731;0.548496;-0.828838;-0.762383;
0.006580;0.999993;0.835649;0.551256;-0.834599;-0.768068;
0.006600;0.999993;0.836763;0.554133;-0.840390;-0.773703;
0.006620;0.999993;0.838067;0.557122;-0.846211;-0.779291;
0.006640;0.999993;0.839558;0.560218;-0.852061;-0.784837;
0.006660;0.999993;0.841229;0.563416;-0.857938;-0.790345;
0.006680;0.999993;0.843076;0.566709;-0.863842;-0.795820;
0.006700;0.999993;0.845091;0.570091;-0.869771;-0.801267;
0.006720;0.999992;0.847269;0.573556;-0.875722;-0.806691;
0.006740;0.999992;0.849602;0.577096;-0.881693;-0.812097;
0.006760;0.999992;0.852084;0.580705;-0.887683;-0.817492;
0.006780;0.999992;0.854707;0.584374;-0.893688;-0.822881;
0.006800;0.999992;0.857464;0.588095;-0.899705;-0.828270;
0.006820;0.999992;0.860347;0.591861;-0.905732;-0.833663;
0.006840;0.999992;0.863348;0.595662;-0.911766;-0.839068;
0.006860;0.999992;0.866459;0.599490;-0.917803;-0.844490;
0.006880;0.999992;0.869672;0.603337;-0.923841;-0.849933;
0.006900;0.999992;0.872979;0.607192;-0.929876;-0.855404;
0.006920;0.999992;0.876370;0.611047;-0.935906;-0.860906;
0.006940;0.999991;0.879839;0.614893;-0.941928;-0.866446;
0.006960;0.999991;0.883376;0.618720;-0.947938;-0.872027;
0.006980;0.999991;0.886973;0.622518;-0.953935;-0.877654;
0.007000;0.999991;0.890623;0.626279;-0.959917;-0.883329;
0.007020;0.999991;0.894315;0.629993;-0.965880;-0.889056;
0.007040;0.999991;0.898044;0.633650;-0.971823;-0.894839;
0.007060;0.999991;0.901800;0.637242;-0.977744;-0.900678;
0.007080;0.999991;0.905576;0.640760;-0.983642;-0.906576;
