time;NL_G1_generator_omegaPu;NL_G1_generator_PGenPu;NL_G1_generator_QGenPu;NL_G1_generator_UPu;NL_G1_generator_efdPu;NL_G1_compensator_VcPu;NL_G1_pss_VPssPu;NL_G1_governor_PmPu;NL_G2_generator_omegaPu;NL_G2_generator_PGenPu;NL_G2_generator_QGenPu;NL_G2_generator_UPu;NL_G2_generator_efdPu;NL_G3_generator_omegaPu;NL_G3_generator_PGenPu;NL_G3_generator_QGenPu;NL_G3_generator_UPu;NL_G3_generator_efdPu;
1.043661;0.999951;6.005627;0.943799;1.018394;1.689197;1.018396;-0.021596;0.519788;0.999797;1.427540;0.767500;1.018394;1.349383;0.999795;1.528052;0.819915;1.018394;1.074005;
1.047347;0.999946;6.009740;0.944430;1.018400;1.687213;1.018402;-0.021188;0.519788;0.999780;1.425597;0.767454;1.018400;1.321997;0.999779;1.525937;0.819390;1.018400;1.015173;
1.051034;0.999941;6.013820;0.945133;1.018398;1.685019;1.018399;-0.020796;0.519788;0.999764;1.423648;0.767361;1.018398;1.299870;0.999763;1.523789;0.818763;1.018398;0.959849;
1.053103;0.999938;6.016091;0.945561;1.018394;1.683705;1.018395;-0.020591;0.519788;0.999755;1.422556;0.767289;1.018394;1.289474;0.999754;1.522574;0.818365;1.018394;0.930162;
1.053103;0.999938;6.016091;0.945561;1.018394;1.683705;1.018394;-0.020591;0.519788;0.999755;1.422556;0.767289;1.018394;1.289474;0.999754;1.522574;0.818365;1.018394;0.930162;
1.053104;0.999938;6.016092;0.945562;1.018394;1.683704;1.018394;-0.020591;0.519788;0.999755;1.422555;0.767289;1.018394;1.289470;0.999754;1.522573;0.818365;1.018394;0.930148;
1.053105;0.999938;6.016093;0.945562;1.018394;1.683703;1.018394;-0.020591;0.519788;0.999755;1.422555;0.767289;1.018394;1.289465;0.999754;1.522573;0.818365;1.018394;0.930134;
1.053107;0.999938;6.016095;0.945562;1.018394;1.683702;1.018394;-0.020591;0.519788;0.999755;1.422553;0.767288;1.018394;1.289456;0.999754;1.522572;0.818365;1.018394;0.930106;
1.053111;0.999938;6.016100;0.945563;1.018394;1.683699;1.018394;-0.020590;0.519788;0.999755;1.422551;0.767288;1.018394;1.289438;0.999754;1.522569;0.818364;1.018394;0.930050;
1.053119;0.999938;6.016108;0.945565;1.018394;1.683694;1.018394;-0.020589;0.519788;0.999755;1.422547;0.767288;1.018394;1.289401;0.999753;1.522564;0.818362;1.018394;0.929938;
1.053135;0.999938;6.016126;0.945568;1.018394;1.683684;1.018394;-0.020588;0.519788;0.999755;1.422539;0.767287;1.018394;1.289329;0.999753;1.522555;0.818359;1.018394;0.929714;
