time;L_circuit_vBusA;L_circuit_vBusB;L_circuit_vBusC;L_circuit_iGenA;L_circuit_iGenB;L_circuit_iGenC;L_circuit_Wr;L_circuit_dtheta;L_circuit_Te;
0.004080;0.486531;0.791890;-1.278421;-0.121951;-0.186562;0.308513;1.000000;1.919862;0.602973;
0.004100;0.479024;0.798157;-1.277181;-0.120146;-0.188097;0.308244;1.000000;1.919862;0.602912;
0.004120;0.471496;0.804395;-1.275891;-0.118337;-0.189625;0.307962;1.000000;1.919862;0.602851;
0.004140;0.463950;0.810606;-1.274556;-0.116523;-0.191146;0.307669;1.000000;1.919862;0.602791;
0.004160;0.456384;0.816790;-1.273174;-0.114704;-0.192660;0.307365;1.000000;1.919862;0.602733;
0.004180;0.448800;0.822948;-1.271748;-0.112881;-0.194168;0.307049;1.000000;1.919862;0.602677;
0.004200;0.441197;0.829080;-1.270277;-0.111054;-0.195668;0.306722;1.000000;1.919862;0.602623;
0.004220;0.433575;0.835186;-1.268761;-0.109222;-0.197162;0.306384;1.000000;1.919862;0.602571;
0.004240;0.425935;0.841266;-1.267201;-0.107387;-0.198649;0.306035;1.000000;1.919862;0.602522;
0.004260;0.418277;0.847318;-1.265595;-0.105547;-0.200129;0.305676;1.000000;1.919862;0.602477;
0.004280;0.410602;0.853342;-1.263943;-0.103703;-0.201603;0.305306;1.000000;1.919862;0.602435;
0.004300;0.402908;0.859335;-1.262243;-0.101856;-0.203070;0.304926;1.000000;1.919862;0.602397;
0.004320;0.395196;0.865297;-1.260494;-0.100005;-0.204531;0.304536;1.000000;1.919862;0.602364;
0.004340;0.387468;0.871226;-1.258693;-0.098151;-0.205985;0.304136;1.000000;1.919862;0.602334;
0.004360;0.379722;0.877119;-1.256840;-0.096293;-0.207433;0.303726;1.000000;1.919862;0.602309;
0.004380;0.371958;0.882975;-1.254933;-0.094431;-0.208874;0.303306;1.000000;1.919862;0.602289;
0.004400;0.364178;0.888792;-1.252970;-0.092567;-0.210309;0.302876;1.000000;1.919862;0.602273;
0.004420;0.356382;0.894568;-1.250949;-0.090699;-0.211737;0.302436;1.000000;1.919862;0.602262;
0.004440;0.348569;0.900301;-1.248870;-0.088828;-0.213159;0.301987;1.000000;1.919862;0.602256;
0.004460;0.340741;0.905989;-1.246730;-0.086954;-0.214573;0.301527;1.000000;1.919862;0.602254;
0.004480;0.332897;0.911632;-1.244529;-0.085078;-0.215981;0.301058;1.000000;1.919862;0.602256;
0.004500;0.325038;0.917229;-1.242267;-0.083198;-0.217381;0.300579;1.000000;1.919862;0.602263;
0.004520;0.317165;0.922778;-1.239943;-0.081316;-0.218775;0.300091;1.000000;1.919862;0.602273;
0.004540;0.309277;0.928280;-1.237557;-0.079430;-0.220161;0.299592;1.000000;1.919862;0.602288;
0.004560;0.301377;0.933734;-1.235111;-0.077543;-0.221540;0.299082;1.000000;1.919862;0.602306;
0.004580;0.293464;0.939141;-1.232605;-0.075652;-0.222911;0.298563;1.000000;1.919862;0.602327;
0.004600;0.285539;0.944501;-1.230040;-0.073759;-0.224274;0.298034;1.000000;1.919862;0.602351;
0.004620;0.277602;0.949816;-1.227419;-0.071864;-0.225630;0.297494;1.000000;1.919862;0.602378;
0.004640;0.269655;0.955088;-1.224743;-0.069966;-0.226977;0.296943;1.000000;1.919862;0.602407;
0.004660;0.261698;0.960317;-1.222015;-0.068066;-0.228316;0.296382;1.000000;1.919862;0.602439;
0.004680;0.253732;0.965505;-1.219237;-0.066164;-0.229647;0.295811;1.000000;1.919862;0.602472;
0.004700;0.245756;0.970656;-1.216412;-0.064259;-0.230969;0.295228;1.000000;1.919862;0.602507;
0.004720;0.237773;0.975770;-1.213544;-0.062353;-0.232283;0.294635;1.000000;1.919862;0.602544;
0.004740;0.229783;0.980851;-1.210634;-0.060444;-0.233588;0.294031;1.000000;1.919862;0.602582;
0.004760;0.221785;0.985901;-1.207686;-0.058533;-0.234884;0.293416;1.000000;1.919862;0.602622;
0.004780;0.213782;0.990921;-1.204703;-0.056620;-0.236171;0.292791;1.000000;1.919862;0.602662;
0.004800;0.205773;0.995915;-1.201688;-0.054705;-0.237449;0.292154;1.000000;1.919862;0.602704;
0.004820;0.197759;1.000883;-1.198642;-0.052789;-0.238718;0.291507;1.000000;1.919862;0.602746;
0.004840;0.189740;1.005828;-1.195568;-0.050870;-0.239978;0.290848;1.000000;1.919862;0.602790;
0.004860;0.181717;1.010751;-1.192467;-0.048950;-0.241229;0.290179;1.000000;1.919862;0.602834;
0.004880;0.173689;1.015653;-1.189342;-0.047029;-0.242470;0.289499;1.000000;1.919862;0.602879;
0.004900;0.165659;1.020534;-1.186193;-0.045106;-0.243702;0.288808;1.000000;1.919862;0.602925;
0.004920;0.157624;1.025396;-1.183020;-0.043181;-0.244925;0.288106;1.000000;1.919862;0.602971;
0.004940;0.149587;1.030238;-1.179825;-0.041255;-0.246139;0.287394;1.000000;1.919862;0.603019;
