time;NETWORK_B1_Urms;NETWORK_DL1_fict_Urms;NETWORK_DL1_Irms;
0.005120;0.963544;0.822388;0.164478;
0.005130;0.963545;0.822442;0.164488;
0.005140;0.963546;0.822495;0.164499;
0.005150;0.963546;0.822548;0.164510;
0.005160;0.963547;0.822600;0.164520;
0.005170;0.963547;0.822651;0.164530;
0.005180;0.963547;0.822701;0.164540;
0.005190;0.963547;0.822751;0.164550;
0.005200;0.963548;0.822799;0.164560;
0.005210;0.963548;0.822847;0.164569;
0.005220;0.963548;0.822894;0.164579;
0.005230;0.963548;0.822940;0.164588;
0.005240;0.963548;0.822986;0.164597;
0.005250;0.963548;0.823031;0.164606;
0.005260;0.963548;0.823075;0.164615;
0.005270;0.963548;0.823118;0.164624;
0.005280;0.963548;0.823161;0.164632;
0.005290;0.963548;0.823203;0.164641;
0.005300;0.963548;0.823244;0.164649;
0.005310;0.963548;0.823284;0.164657;
0.005320;0.963548;0.823324;0.164665;
0.005330;0.963548;0.823363;0.164673;
0.005340;0.963548;0.823401;0.164680;
0.005350;0.963548;0.823439;0.164688;
0.005360;0.963548;0.823476;0.164695;
0.005370;0.963548;0.823512;0.164702;
0.005380;0.963548;0.823548;0.164710;
0.005390;0.963548;0.823583;0.164717;
0.005400;0.963548;0.823617;0.164723;
0.005410;0.963549;0.823651;0.164730;
0.005420;0.963549;0.823684;0.164737;
0.005430;0.963549;0.823716;0.164743;
0.005440;0.963550;0.823748;0.164750;
0.005450;0.963550;0.823780;0.164756;
0.005460;0.963551;0.823810;0.164762;
0.005470;0.963551;0.823840;0.164768;
0.005480;0.963552;0.823870;0.164774;
0.005490;0.963552;0.823899;0.164780;
0.005500;0.963553;0.823927;0.164785;
0.005510;0.963554;0.823955;0.164791;
0.005520;0.963554;0.823982;0.164796;
0.005530;0.963555;0.824008;0.164802;
0.005540;0.963556;0.824035;0.164807;
0.005550;0.963557;0.824060;0.164812;
0.005560;0.963557;0.824085;0.164817;
0.005570;0.963558;0.824110;0.164822;
0.005580;0.963559;0.824134;0.164827;
0.005590;0.963560;0.824157;0.164831;
0.005600;0.963561;0.824180;0.164836;
0.005610;0.963562;0.824203;0.164841;
0.005620;0.963563;0.824225;0.164845;
0.005630;0.963564;0.824246;0.164849;
0.005640;0.963565;0.824267;0.164853;
0.005650;0.963567;0.824288;0.164858;
0.005660;0.963568;0.824308;0.164862;
0.005670;0.963569;0.824328;0.164866;
0.005680;0.963570;0.824347;0.164869;
0.005690;0.963571;0.824366;0.164873;
0.005700;0.963572;0.824384;0.164877;
0.005710;0.963573;0.824402;0.164880;
0.005720;0.963574;0.824420;0.164884;
0.005730;0.963576;0.824437;0.164887;
0.005740;0.963577;0.824454;0.164891;
0.005750;0.963578;0.824470;0.164894;
0.005760;0.963579;0.824486;0.164897;
0.005770;0.963580;0.824502;0.164900;
0.005780;0.963581;0.824517;0.164903;
0.005790;0.963582;0.824532;0.164906;
0.005800;0.963583;0.824546;0.164909;
0.005810;0.963584;0.824560;0.164912;
0.005820;0.963585;0.824574;0.164915;
0.005830;0.963586;0.824587;0.164917;
0.005840;0.963587;0.824600;0.164920;
0.005850;0.963588;0.824613;0.164923;
0.005860;0.963589;0.824625;0.164925;
0.005870;0.963589;0.824638;0.164928;
0.005880;0.963590;0.824649;0.164930;
0.005890;0.963591;0.824661;0.164932;
0.005900;0.963591;0.824672;0.164934;
0.005910;0.963592;0.824682;0.164936;
0.005920;0.963593;0.824693;0.164939;
0.005930;0.963593;0.824703;0.164941;
0.005940;0.963593;0.824713;0.164943;
0.005950;0.963594;0.824722;0.164944;
0.005960;0.963594;0.824732;0.164946;
0.005970;0.963594;0.824741;0.164948;
0.005980;0.963595;0.824749;0.164950;
0.005990;0.963595;0.824758;0.164952;
0.006000;0.963595;0.824766;0.164953;
0.006010;0.963595;0.824774;0.164955;
0.006020;0.963595;0.824782;0.164956;
0.006030;0.963594;0.824789;0.164958;
0.006040;0.963594;0.824796;0.164959;
0.006050;0.963594;0.824803;0.164961;
0.006060;0.963593;0.824810;0.164962;
0.006070;0.963593;0.824816;0.164963;
0.006080;0.963592;0.824822;0.164964;
0.006090;0.963592;0.824828;0.164966;
0.006100;0.963591;0.824834;0.164967;
0.006110;0.963590;0.824839;0.164968;
0.006120;0.963589;0.824845;0.164969;
0.006130;0.963588;0.824850;0.164970;
0.006140;0.963587;0.824855;0.164971;
0.006150;0.963586;0.824859;0.164972;
0.006160;0.963585;0.824864;0.164973;
0.006170;0.963584;0.824868;0.164974;
0.006180;0.963583;0.824872;0.164974;
0.006190;0.963581;0.824876;0.164975;
0.006200;0.963580;0.824879;0.164976;
0.006210;0.963578;0.824883;0.164977;
0.006220;0.963577;0.824886;0.164977;
0.006230;0.963575;0.824889;0.164978;
0.006240;0.963573;0.824892;0.164978;
0.006250;0.963571;0.824894;0.164979;
0.006260;0.963570;0.824897;0.164979;
0.006270;0.963568;0.824899;0.164980;
0.006280;0.963566;0.824901;0.164980;
0.006290;0.963563;0.824903;0.164981;
0.006300;0.963561;0.824905;0.164981;
0.006310;0.963559;0.824907;0.164981;
0.006320;0.963557;0.824908;0.164982;
0.006330;0.963555;0.824909;0.164982;
0.006340;0.963552;0.824910;0.164982;
0.006350;0.963550;0.824911;0.164982;
0.006360;0.963547;0.824912;0.164982;
0.006370;0.963545;0.824913;0.164983;
0.006380;0.963542;0.824913;0.164983;
0.006390;0.963539;0.824914;0.164983;
0.006400;0.963537;0.824914;0.164983;
0.006410;0.963534;0.824914;0.164983;
0.006420;0.963531;0.824914;0.164983;
0.006430;0.963528;0.824914;0.164983;
0.006440;0.963526;0.824913;0.164983;
0.006450;0.963523;0.824913;0.164983;
0.006460;0.963520;0.824912;0.164982;
0.006470;0.963517;0.824912;0.164982;
0.006480;0.963514;0.824911;0.164982;
0.006490;0.963511;0.824910;0.164982;
0.006500;0.963508;0.824908;0.164982;
0.006510;0.963505;0.824907;0.164981;
0.006520;0.963502;0.824906;0.164981;
