time;GEN_generator_omegaPu;GEN_generator_PGenPu;GEN_generator_QGenPu;GEN_generator_UPu;GEN_generator_delta;LOAD_load_PPu;LOAD_load_QPu;OMEGA_REF_setPoint_setPoint;NETWORK_BUS_Upu_value;
6.340896;0.931092;1.200000;0.199978;0.990594;-75.067335;1.200000;0.200000;1.000000;0.990594;
6.373664;0.930889;1.200000;0.199929;0.990606;-75.777739;1.200000;0.200000;1.000000;0.990606;
6.390048;0.930788;1.200000;0.199937;0.990603;-76.133725;1.200000;0.200000;1.000000;0.990603;
6.398240;0.930738;1.200000;0.199993;0.990592;-76.311912;1.200000;0.200000;1.000000;0.990592;
6.414624;0.930637;1.200000;0.199977;0.990594;-76.668676;1.200000;0.200000;1.000000;0.990594;
6.447392;0.930437;1.200000;0.199922;0.990607;-77.383750;1.200000;0.200000;1.000000;0.990607;
6.463776;0.930338;1.200000;0.199932;0.990603;-77.742058;1.200000;0.200000;1.000000;0.990603;
6.471968;0.930288;1.200000;0.199992;0.990592;-77.921405;1.200000;0.200000;1.000000;0.990592;
6.488352;0.930189;1.200000;0.199975;0.990595;-78.280481;1.200000;0.200000;1.000000;0.990595;
6.521120;0.929992;1.200000;0.199914;0.990609;-79.000156;1.200000;0.200000;1.000000;0.990609;
6.537504;0.929893;1.200000;0.199927;0.990604;-79.360754;1.200000;0.200000;1.000000;0.990604;
6.545696;0.929845;1.200000;0.199992;0.990592;-79.541242;1.200000;0.200000;1.000000;0.990592;
6.562080;0.929747;1.200000;0.199974;0.990595;-79.902596;1.200000;0.200000;1.000000;0.990595;
6.594848;0.929553;1.200000;0.199907;0.990610;-80.626806;1.200000;0.200000;1.000000;0.990610;
6.611232;0.929456;1.200000;0.199922;0.990605;-80.989660;1.200000;0.200000;1.000000;0.990605;
6.619424;0.929408;1.200000;0.199991;0.990592;-81.171273;1.200000;0.200000;1.000000;0.990592;
6.635808;0.929312;1.200000;0.199973;0.990595;-81.534872;1.200000;0.200000;1.000000;0.990595;
6.668576;0.929120;1.200000;0.199898;0.990612;-82.263549;1.200000;0.200000;1.000000;0.990612;
6.684960;0.929025;1.200000;0.199917;0.990606;-82.628626;1.200000;0.200000;1.000000;0.990606;
6.693152;0.928977;1.200000;0.199991;0.990592;-82.811349;1.200000;0.200000;1.000000;0.990592;
6.709536;0.928882;1.200000;0.199971;0.990595;-83.177160;1.200000;0.200000;1.000000;0.990595;
6.742304;0.928694;1.200000;0.199890;0.990613;-83.910239;1.200000;0.200000;1.000000;0.990613;
6.758688;0.928600;1.200000;0.199912;0.990607;-84.277506;1.200000;0.200000;1.000000;0.990607;
6.766880;0.928553;1.200000;0.199990;0.990592;-84.461321;1.200000;0.200000;1.000000;0.990592;
6.783264;0.928460;1.200000;0.199970;0.990595;-84.829312;1.200000;0.200000;1.000000;0.990595;
6.816032;0.928274;1.200000;0.199880;0.990615;-85.566729;1.200000;0.200000;1.000000;0.990615;
6.832416;0.928181;1.200000;0.199906;0.990608;-85.936155;1.200000;0.200000;1.000000;0.990608;
6.840608;0.928135;1.200000;0.199990;0.990592;-86.121046;1.200000;0.200000;1.000000;0.990592;
6.856992;0.928043;1.200000;0.199968;0.990596;-86.491184;1.200000;0.200000;1.000000;0.990596;
